,c.elegans,ciliate,drosophila,e.coli,human,methanocaldococcus,mouse,thermococcus,tuberculosis,yeast,zebrafish
CBX3.fasta,3.51e-06,1.24e-04,4.43e-08,4.3,4.71e-67,0.74,9.97e-33,0.91,4.4,0.32,1.59e-16
H2B_sequence,5.98e-66,4.62e-51,2.75e-60,1.6,2.78e-88,1.7,1.95e-88,1.2,2.3,1.01e-60,1.86e-83
H2A_sequence,2.68e-47,1.85e-48,1.08e-45,1.9,3.74e-140,1.1,1.42e-138,0.046,0.44,7.98e-48,2.36e-86
H3_sequence,4.46e-94,8.41e-86,9.39e-96,0.90,2.19e-96,0.034,1.54e-96,0.057,4.6,3.31e-87,1.77e-95
H4_sequence,6.15e-68,1.96e-45,8.02e-68,1.3,1.09e-67,8.22e-05,7.60e-68,3.31e-05,0.069,1.08e-52,1.13e-68
